CIK,Ano,LC,CTPT,ML,ME,ROA,Empresa
0001045810,2010,3.1627990586171464,,0.0805318208576299,0.0824011607166195,0.3050053012924445,194
0001045810,2010,3.1627990586171464,,0.0805318208576299,0.0824011607166195,0.3050053012924445,194
0001045810,2010,3.1627990586171464,,0.0805318208576299,0.0824011607166195,0.3050053012924445,194
0001045810,2010,3.1627990586171464,,0.0805318208576299,0.0824011607166195,0.3050053012924445,194
0001045810,2010,3.1627990586171464,,0.0805318208576299,0.0824011607166195,0.3050053012924445,194
0001045810,2010,3.1627990586171464,,0.0805318208576299,0.0824011607166195,0.3050053012924445,194
0001045810,2010,3.1627990586171464,,0.0805318208576299,0.0824011607166195,0.3050053012924445,194
0001045810,2010,3.1627990586171464,,0.0805318208576299,0.0824011607166195,0.3050053012924445,194
0001045810,2010,3.1627990586171464,,0.0805318208576299,0.0824011607166195,0.3050053012924445,194
0001045810,2010,3.1627990586171464,,0.0805318208576299,0.0824011607166195,0.3050053012924445,194
0001045810,2010,3.1627990586171464,,0.0805318208576299,0.0824011607166195,0.3050053012924445,194
0001045810,2010,3.1627990586171464,,0.0805318208576299,0.0824011607166195,0.3050053012924445,194
0001045810,2010,3.1627990586171464,,0.0805318208576299,0.0824011607166195,0.3050053012924445,194
0001045810,2010,3.1627990586171464,,0.0805318208576299,0.0824011607166195,0.3050053012924445,194
0001045810,2010,3.1627990586171464,,0.0805318208576299,0.0824011607166195,0.3050053012924445,194
0001045810,2010,3.1627990586171464,,0.0805318208576299,0.0824011607166195,0.3050053012924445,194
0001045810,2011,3.42315860491661,,0.0915193117768714,0.1736876754212501,0.09790988079406555,194
0001045810,2012,4.199499332227907,,0.1314287623427073,0.1991617601121827,0.10130439292567812,194
0001045810,2013,4.891564734696888,,0.1065309302637523,0.174923404941501,0.06861715358661435,194
0001045810,2014,5.948952718996167,,0.1346974382394387,0.2132084817987028,0.08696679333610449,194
0001045810,2015,6.376116071428571,0.629923042100498,0.1225548902195608,0.1930139720558882,0.08526593528676572,194
0001045810,2016,2.5746490854955337,0.6296710673528754,0.2410998552821997,0.3083936324167872,0.22605156037991858,194
0001045810,2017,4.774049217002237,0.7025338424158278,0.5385961075880166,0.7428383993002405,0.25027944314602174,194
0001045810,2018,8.026886383347788,0.5046178557087405,,,0.42033626901521215,194
0001045810,2019,7.943566591422122,0.4228216655962321,,,0.21027685826060788,194
0001045810,2020,7.673766816143497,0.4187971156997706,,,0.2501876985272885,194
0001045810,2022,6.650288350634371,0.6604163535247257,0.1789128001908012,,0.22069839545567702,194
0001318605,2011,1.948572951672163,2.184395991876632,-0.918583041449667,-1.89474696856402,-0.2944405198416703,336
0001318605,2012,0.973400506021057,7.934963913392141,-1.0536422790033328,-0.5918367346938775,-0.5839416975560722,336
0001318605,2013,1.8750207358255824,2.6229314066434823,-0.0367589506013421,0.022249857958496,-0.030623145891689043,336
0001318605,2014,1.5179900397026147,5.3518607890666985,-0.0919347314682918,0.0141453921952403,-0.05026968410143452,336
0001318605,2015,0.991227416082384,6.392864095858005,-0.2196385884018483,-0.072673567927427,-0.10981370312611986,336
0001318605,2016,1.0742733187975642,3.5241911746296117,-0.0964144676128964,0.0399648178062927,-0.029779021214012873,336
0001318605,2017,0.8561306219029613,5.433482439756804,-0.1668034300581753,0.0003331136104506,-0.06844789870464776,336
0001318605,2018,0.8312845221482174,4.758247764735562,-0.0454815158172387,,-0.03282123971077768,336
0001318605,2019,1.1346207931002157,3.958748866727108,-0.0350720156237285,,-0.025124602873881487,336
0001318605,2020,1.8751403705783267,1.278650168728909,0.0228627600202942,,0.013826033596686355,336
0001318605,2021,1.3752854605430094,1.0118917486501706,0.1025398064024673,,0.08882844312822906,336
0001318605,2022,1.53195552061103,0.8151395848246242,0.1541332154869755,,0.1524933809419709,336
0001403161,2009,2.080369203061684,0.391909957307344,0.5796657381615599,0.9880222841225628,0.06446516526749481,386
0001403161,2011,2.662996232975949,0.3148239210197829,0.2737957291839099,0.4276195994040722,0.1903337169159954,386
0001403161,2012,1.4817701785265276,,,,0.05358258565966061,386
0001403161,2013,1.8043829296424447,,,,0.13850261430637445,386
0001403161,2014,1.592074592074592,,0.5218309183379714,0.7803473754917954,0.14099406258912597,386
0001403161,2015,2.026795682917752,,0.5372728816437425,0.8115129903209374,0.15727209464161448,386
0001403161,2016,1.77889634601044,,0.4716580066131318,0.6601322626358054,0.09355821035371281,386
0001403161,2017,1.9034420652391435,,0.4826368876080691,0.914985590778098,0.09854803830707445,386
0001403161,2018,1.6113224237063246,,0.6829996021747778,0.8995491314149318,0.1488046226074395,386
0001403161,2019,1.563175549757734,,0.6580237498638196,0.8528706830809456,0.16645079505056906,386
0001403161,2020,1.9052377670572016,,0.2493002340200982,0.3406598449043271,0.13428243057872688,386
0001403161,2021,1.754050447931889,,,,0.14851138776298012,386
0001403161,2022,1.4484726418261162,,,,0.1749336265072923,386
0000731766,2009,0.821188467265262,1.5012708633398288,0.0487239571694005,0.0900476959717016,0.1292404098568888,61
