DENOM_CIA,CNPJ_CIA,ANO,ROA,LC,CTPT,ME,ML,Macro
CIA INDUSTRIAL CATAGUASES,19.526.748/0001-50,2012,0.018959968919285437,3.2610925689604398,0.8980034782608696,0.07025419594573555,0.026846787000612396,
CIA MELHORAMENTOS DE SAO PAULO,60.730.348/0001-66,2012,0.002126860265149454,0.07077825336391799,0.8301242478237133,2.867242309767944,0.8753372908796546,
CIA PARANAENSE DE ENERGIA - COPEL,76.483.817/0001-20,2012,0.050904675929195155,4.72953434225844,0.12521188602101596,inf,inf,
CIA SANEAMENTO DE MINAS GERAIS-COPASA MG,17.281.106/0001-03,2012,0.054147102623820595,1.454002936185628,0.8117481427577323,0.3262926432188428,0.1391246309580647,
CIA SIDERURGICA NACIONAL,33.042.730/0001-04,2012,-0.008952759067163732,1.4711101677671048,4.445757794250064,0.23605952549556103,-0.039482014999694094,
CIA TECIDOS NORTE DE MINAS COTEMINAS,22.677.520/0001-76,2012,-0.08690873647748829,0.46058697852243335,0.1125337218999855,-inf,-inf,
CIA TECIDOS SANTANENSE,21.255.567/0001-89,2012,0.09857360084217266,4.058010916292325,0.3258485660997996,0.16962169056607834,0.08617242557725892,
CLEAR SALE S.A.,03.802.115/0001-98,2012,,,,,,
COGNA EDUCAÇÃO S.A.,02.800.026/0001-40,2012,0.08791746261058,1.065843259636939,0.02310831963615059,inf,inf,
COMPANHIA BRASILEIRA DE ALUMÍNIO,61.409.892/0001-73,2012,,,,,,
CONSERVAS ODERICH S.A.,97.191.902/0001-94,2012,0.025048890718716958,1.379234229761623,2.2125873004739525,0.11084834939271129,0.024826345417281067,
CONSTRUTORA ADOLPHO LINDENBERG S.A.,61.022.042/0001-18,2012,0.15523687580025608,0.30800309464454567,-4.355964248882778,0.591748376416656,0.38596714631351076,
CONSTRUTORA TENDA S.A.,71.476.527/0001-35,2012,-0.031492603501000985,1.233271455850749,1.1136086954872817,-0.1826456208022467,-0.20784990441387943,
COSAN S.A.,50.746.577/0001-15,2012,0.1881111384625158,2.4910477403882187,0.513652024253608,2327.25,2010.6743827160494,
CPFL ENERGIA S.A.,02.429.144/0001-93,2012,0.16831045096442043,2.94584443533511,0.056120217050023784,897.3953168044077,844.2995867768595,
