Denominação Social,CNPJ
GRUPO DE MODA SOMA S.A.,10.285.590/0001-08
GRUPO MATEUS S.A.,24.990.777/0001-09
GUARARAPES CONFECCOES S.A.,08.402.943/0001-52
HAGA S.A. INDUSTRIA E COMERCIO,30.540.991/0001-66
HELBOR EMPREENDIMENTOS S.A.,49.263.189/0001-02
HIDROVIAS DO BRASIL S.A.,12.648.327/0001-53
HMOBI PARTICIPAÇÕES S.A.,40.159.947/0001-64
HYPERA S.A.,02.932.074/0001-91
IGUA SANEAMENTO S.A.,08.159.965/0001-33
INFRACOMMERCE CXAAS S.A.,38.456.921/0001-36
INTER CONSTRUTORA E INCORPORADORA S.A.,09.611.768/0001-76
INTERNATIONAL MEAL COMPANY ALIMENTACAO S.A.,17.314.329/0001-20
INVESTIMENTOS E PARTICIP. EM INFRA S.A. - INVEPAR,03.758.318/0001-24
IOCHPE MAXION S.A.,61.156.113/0001-75
IRANI PAPEL E EMBALAGEM S.A.,92.791.243/0001-03
IRB - BRASIL RESSEGUROS S.A.,33.376.989/0001-91
JALLES MACHADO S.A.,02.635.522/0001-95
JBS S.A.,02.916.265/0001-60
JHSF PARTICIPACOES S.A.,08.294.224/0001-65
JOSAPAR-JOAQUIM OLIVEIRA S.A. - PARTICIP,87.456.562/0001-22
JSL S.A.,52.548.435/0001-79
KARSTEN S.A.,82.640.558/0001-04
KEPLER WEBER S.A.,91.983.056/0001-69
KLABIN S.A.,89.637.490/0001-45
LAVVI EMPREENDIMENTOS IMOBILIÁRIOS S.A.,26.462.693/0001-28
LOCALIZA RENT A CAR S.A.,16.670.085/0001-55
LOCAWEB SERVIÇOS DE INTERNET S.A.,02.351.877/0001-52
LOG-IN LOGISTICA INTERMODAL S.A.,42.278.291/0001-24
LOJAS RENNER S.A.,92.754.738/0001-62
M.DIAS BRANCO S.A. IND COM DE ALIMENTOS,07.206.816/0001-15
MAGAZINE LUIZA S.A.,47.960.950/0001-21
MAHLE-METAL LEVE S.A.,60.476.884/0001-87
MANGELS INDUSTRIAL S.A.,61.065.298/0001-02
MANUFATURA DE BRINQUEDOS ESTRELA S.A.,61.082.004/0001-50
MARCOPOLO S.A.,88.611.835/0001-29
MARFRIG GLOBAL FOODS S.A.,03.853.896/0001-40
MARISA LOJAS S.A.,61.189.288/0001-89
MÉLIUZ S.A.,14.110.585/0001-07
MELNICK DESENVOLVIMENTO IMOBILIÁRIO S.A.,12.181.987/0001-77
METALFRIO SOLUTIONS S.A.,04.821.041/0001-08
