CIK,Ano,LC,CTPT,ML,ME
0000066740,2018.0,,,0.05658461245517343,
0000066740,2019.0,,,0.14220811550908638,
0000066740,2020.0,,,0.1672880934625901,
0000066740,2021.0,,,0.16747277612784614,
0000066740,2022.0,,,0.1687750153378714,
0000796343,2009.0,2.928915059208836,0.4890370607258707,0.23681737429446242,0.4242934977002777
0000796343,2010.0,3.011034671300492,0.5679008517662493,0.1721336056389014,0.19060777043318317
0000796343,2011.0,3.0152816764592307,0.5547306442049463,0.18916432411854442,
0000796343,2012.0,3.405821260748951,0.4965117231607479,0.18910901049282225,
0000796343,2013.0,2.651941339024467,0.5436227458624514,0.0715087146506742,
0000796343,2014.0,1.8450382551559772,0.5917916499714798,0.06471926531173251,
0000796343,2015.0,2.178346515742091,0.6748322521488007,0.13127923176487344,
0000796343,2016.0,2.0770028826643574,0.7114338567793089,0.19964061403074254,
0000796343,2017.0,2.0546850039561075,0.7181774327711221,0.232000662877037,
0000796343,2018.0,1.1292482480169146,1.0047482865515203,0.28690716553075035,
0000796343,2019.0,0.7929403201440421,0.9717088684829426,0.2642001192878499,
0000796343,2020.0,1.477866473149492,0.8308202653799759,0.4087659309916071,
0000796343,2021.0,1.2505770340450086,0.840981279989187,0.3054798859676908,
0000796343,2022.0,1.106791338582677,0.9333143548501885,0.27013518118823127,
0000796343,2023.0,1.3433523209307963,0.8028211647899262,,
0000002969,2009.0,1.1973957501198274,1.6901646528516872,,
0000002969,2010.0,1.351900539191658,1.4076871766211758,,
0000002969,2011.0,1.36199829205807,1.4410435142689533,,
0000002969,2012.0,1.2698613331350608,1.532452294201198,,
0000002969,2013.0,1.065528566117239,1.459138609221681,,
0000002969,2014.0,1.111981100236247,1.3536207879660052,,
0000002969,2015.0,0.797894794550588,1.3873637743136984,,
0000002969,2016.0,1.314927055097006,1.5314283292841404,,
0000002969,2017.0,2.3610687022900763,0.821092185362178,,
0000002969,2018.0,2.173459350810418,0.7370020723002533,0.06083301179863128,
0000002969,2018.0,2.173459350810418,0.7394151508174073,0.06083301179863128,
0000002969,2018.0,2.1493761894692325,0.7370020723002533,0.06083301179863128,
0000002969,2018.0,2.1493761894692325,0.7394151508174073,0.06083301179863128,
0000002969,2018.0,2.1846640721891974,0.7370020723002533,0.06083301179863128,
0000002969,2018.0,2.1846640721891974,0.7394151508174073,0.06083301179863128,
0000002969,2018.0,2.16045675618524,0.7370020723002533,0.06083301179863128,
0000002969,2018.0,2.16045675618524,0.7394151508174073,0.06083301179863128,
