DENOM_CIA,CNPJ_CIA,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,indice
CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A.,10.760.260/0001-19,0.01175244828063762,0.054035014720503954,0.06368289250084444,0.06652441071683941,0.059332754408790836,0.05378788078988127,0.05187511983826944,-0.000699159432706621,-0.2794921700281191,-0.12460011498901118,-0.1340004278704418,ROA
CVLB BRASIL S.A.,16.233.389/0001-55,,,,,,,,0.010805932104627608,-0.04299254696757501,-0.08664223899415975,-0.08248816295055997,ROA
CYRELA BRAZIL REALTY S.A.EMPREEND E PART,73.178.600/0001-18,0.07930310600268009,0.0904190398826064,0.08787920131966463,0.05930159722323383,0.020479283317094,-0.013453699696610604,-0.012129229497823761,0.05764417698039446,0.20009095989171202,0.09727720304795293,0.07555652742244803,ROA
D1000 VAREJO FARMA PARTICIPAÇÕES S.A.,12.108.897/0001-50,,,,,,,,-0.01606483438436731,0.0001463134366885106,0.0023431931364214383,0.013356655037182199,ROA
DESKTOP S.A.,08.170.849/0001-15,,,,,,,,,0.07019531699760302,0.015199795347696719,0.024215454405053554,ROA
DEXCO S.A.,97.837.181/0001-47,,,,,,0.02377496097627095,0.05329831758942167,0.05061416935661509,0.04888699388271611,0.15851373989942952,0.0567669611406009,ROA
DIAGNOSTICOS DA AMERICA S.A.,61.486.650/0001-83,0.020992211700215882,0.0293060086457647,0.01836696521996879,0.005132578868164303,0.018865452274615415,0.021975253326556782,0.0259116938221484,0.014476450490404741,-0.014294662549959562,-0.013640850363901107,-0.01891998754849627,ROA
DIMED S.A. DISTRIBUIDORA DE MEDICAMENTOS,92.665.611/0001-77,0.09524685728844198,0.09164226463876837,0.0688242060863806,0.05870696318429639,0.06311550974526119,0.06222547812722102,0.07311707586303737,0.052250719038785545,0.025700280112044817,0.03348094129053335,0.03163589972066466,ROA
DIRECIONAL ENGENHARIA S.A.,16.614.075/0001-00,0.13784320991813495,0.1176876800214543,0.09800075974747441,0.06092035572635676,-0.005784205539710458,-0.07362752046275738,-0.029412936834014934,0.045482549315086475,0.046239893087141506,0.06041195755588818,0.06376281120107433,ROA
DOTZ S.A.,18.174.270/0001-84,,,,,,,,-inf,-31.786466165413533,-0.3375687433308709,-0.3922558367602581,ROA
DURATEX S.A.,97.837.181/0001-47,0.06627157730354034,0.07070275618632119,0.05029228479459411,0.023046839479341406,0.003107652031289427,,,,,,,ROA
ECORODOVIAS CONCESSÕES E SERVIÇOS S.A.,08.873.873/0001-10,0.27452150852818114,0.2666981607875298,0.23173573479521467,0.195525559908015,0.18761116899015548,0.14540627068833256,0.13558426128461812,0.022838631327310597,0.07586736806286278,0.06144573435506126,0.06453089445595722,ROA
ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.,04.149.454/0001-80,0.15626612839330287,0.1665231014441071,0.21032551650981765,0.04350752740031205,-0.6437134599510053,0.21655260236544568,0.1692026813277967,-0.08867481216488753,-0.27213153053928496,0.10685418032709197,0.07164165961267228,ROA
EDP - ENERGIAS DO BRASIL S.A.,03.983.431/0001-03,0.06546385302881744,0.0646248985957936,0.12053043624443409,0.1591209243155726,0.07126347103804993,0.06644085178245933,0.1289618546033315,0.12795608701835678,0.13200543317033298,0.17276057308020412,0.08587235680311167,ROA
ELECTRO ACO ALTONA S.A.,82.643.537/0001-34,0.03030803729493686,0.035172619093053255,0.024798353125618126,0.0004528834196410342,-0.006750733953206905,0.12094616459222896,0.035288423587843655,0.04620535347054275,0.06207914217554905,0.07505508269638583,0.07302690007697014,ROA
ELETROMIDIA S.A.,09.347.516/0001-81,,,,,,,,0.04838113439165249,-0.0710263037225395,-0.007441038569069938,0.02026983629226346,ROA
ELETRORIVER S.A.,01.968.293/0001-68,,,,,,,,,,0.5259471192869417,0.14582973815966202,ROA
EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.,02.302.101/0001-42,-0.11773846049722511,0.057606296012340776,-0.027495976272661937,0.05984032571392541,0.053206623247171764,0.10283999837729176,0.08067084654444895,0.06493016761734406,0.12070191185601271,0.09186354600959334,0.03417811716086705,ROA
EMBRAER S.A.,07.689.002/0001-89,0.04143188527095624,0.03787300224027066,0.032992793709261,0.0059726396103489164,0.017394706305424674,0.023045029908747197,-0.017580329182384686,-0.036355151434266174,-0.12972734331125035,-0.008698284707966103,-0.02050715323453176,ROA
EMPREENDIMENTOS PAGUE MENOS S.A.,06.626.253/0001-51,0.08260503936595916,0.0689509986152317,0.05998804355282888,0.010237742355941474,0.01503753165184324,0.027977376636472456,0.02753217832410639,-0.0014445618952652066,0.01669042496947223,0.025019115342264274,0.033620254907748795,ROA
ENAUTA PARTICIPAÇÕES S.A.,11.669.021/0001-10,0.03701476137983533,0.07979250180759848,0.06566143648034202,0.03480878279138082,0.05500319806950279,0.11384922682875546,0.13288644297147714,0.07403107473817776,0.04476658915017048,0.3456229522552169,0.07061365127880011,ROA
ENERGISA S.A.,00.864.214/0001-06,0.11763917252686809,0.08063345158392929,0.057168690624231196,0.07195016930063812,0.02680295926207278,0.07812843753894275,0.10870899490131666,0.03868224853518611,0.10678762156452122,0.15524910453697593,0.11394473747384039,ROA
ENEVA S.A,04.423.567/0001-21,-0.11947955253575791,-0.19832869842813056,-0.40675436886774724,0.029759009977461365,-0.02032143820998621,0.013524563813060839,0.10811891957188526,0.05930656691126759,0.07910079356244584,0.08260046802003869,0.014242095999429974,ROA
ENGIE BRASIL ENERGIA S.A.,02.474.103/0001-19,0.16589444556184174,0.14112971620005443,0.12306157289399287,0.11688903670190418,0.12694574767848404,0.13221480044554418,0.13145300044371247,0.10776028966906347,0.11725302169273816,0.06622999419835035,0.1216669198463561,ROA
ENJOEI S.A.,16.922.038/0001-51,,,,,,,,-0.5616983276505926,-0.058829978055709393,-0.2515059443779841,-0.15443607556141686,ROA
ENVIRONMENTAL ESG PARTICIPAÇÕES S.A.,09.527.023/0001-23,,,,,,,,,-0.014778582825455782,0.006161437107890626,0.012789089602692089,ROA
EQUATORIAL ENERGIA S.A.,03.220.438/0001-73,0.05673500593525542,0.02870782778398423,0.21257817653472333,0.2193300098965206,0.16945076849394886,0.16120443074038301,0.11569198093190566,0.23578168035405464,0.25500536995243756,0.22982654614375708,0.06137392581290731,ROA
EUCATEX S.A. INDUSTRIA E COMERCIO,56.643.018/0001-66,0.07803540682530573,0.06912597976830949,0.020675163150459343,0.00828517790503584,0.0246087864023593,0.03124082784431807,0.019497441171165593,0.04184923368046817,0.07561259708227416,0.14045596144682068,0.09395529677304715,ROA
EVEN CONSTRUTORA E INCORPORADORA S.A.,43.470.988/0001-65,0.1020423239780933,0.09763254385916473,0.07793163707319482,0.032212723590451034,0.0006045409178406886,-0.1256513421721969,-0.05901436839328028,0.039358136555308634,0.006328074733683466,0.11037231059027504,0.042140891650625914,ROA
EZ TEC EMPREEND. E PARTICIPACOES S.A.,08.312.229/0001-73,0.17883843276574848,0.24023313790384968,0.1686262297040178,0.13997101032607392,0.06932771274530973,0.10688117486248462,0.028742082674630524,0.07156720786222619,0.09488071421613804,0.09673508299761631,0.06729931216072561,ROA
FLEURY S.A.,60.840.055/0001-31,0.038955765609004545,0.019056229950099063,0.026752196871624875,0.03352630041961362,0.07616101524492158,0.09128961984819896,0.08583709319052736,0.06297269799228239,0.04781075380534609,0.060730460788288414,0.042464615923113874,ROA
FOZ DO RIO CLARO ENERGIA S.A.,07.823.262/0001-03,,,,,,,,,,0.03949820311460136,-0.004742376743060019,ROA
FRAS-LE S.A.,88.610.126/0001-29,0.031381448425282746,0.04845888087762143,0.05323192117294283,0.05975352943737526,0.05596060880155796,0.04966952881204815,0.07042879544566141,0.028165110506581072,0.08193510333722202,0.08454294027945103,0.06432235094773082,ROA
GAFISA S.A.,01.545.826/0001-07,-0.019347321593123825,0.1271313114584715,-0.006568858617394901,0.011466215178700553,-0.222681774479004,-0.24014632758287935,-0.130297005963475,-0.005486897247847086,-0.024725644895652484,0.024891699631866056,-0.021882188092526397,ROA
GERDAU S.A.,33.611.500/0001-19,0.04508667789084748,0.04364007718000404,0.03632500874157743,-0.10885266295410612,-0.08789679858078893,-0.011083198874704955,0.06413341673011015,0.031630331237732186,0.05371765695982643,0.2851249725968967,0.21568072648811193,ROA
GETNINJAS S.A.,14.127.813/0001-51,,,,,,,,,-0.10933660933660934,-0.13371421863076954,-0.05316157521743799,ROA
GOL LINHAS AEREAS INTELIGENTES S.A.,06.164.253/0001-87,-0.5493464661021842,-0.3168888404422576,-0.6961301307496964,-1.5694149211261244,0.31331392128532537,0.005763541573719644,-0.27565144470326264,-0.02083929365362273,-0.9518417776489184,-0.910162178539821,-0.20140471090088471,ROA
GRAZZIOTIN S.A.,92.012.467/0001-70,0.08711030629697998,0.10212512221269872,0.10548062753744866,0.08136392578821747,0.10012563090198594,0.09068519538268499,0.07748982344128152,0.1518258389005115,0.08050826212638225,0.1632299627372382,0.10235446824605439,ROA
GRENDENE S.A.,89.850.341/0001-60,0.19520526440800437,0.18971552298671765,0.18793685551053704,0.18401849989784594,0.19620492525410327,0.18500751866229392,0.15204345805191805,0.1245000042761551,0.08863302642524368,0.1347079405972062,0.11908629929031712,ROA
GRUPO DE MODA SOMA S.A.,10.285.590/0001-08,,,,,,,,0.11586565136525598,-0.03260426292927668,0.03790690270043216,0.039535805659932484,ROA
GRUPO MATEUS S.A.,24.990.777/0001-09,,,,,,,,0.17871961749033086,0.12856414842778124,0.12037708835242024,0.14089467844355694,ROA
