"DENOM_CIA","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"IPCA (%a.a)",5.83859471814745,5.91068325533108,6.40747079590815,10.6730281339751,6.28798821322138,2.94742132043471,3.74558117019155,4.30615161715953,4.51745688642451,10.0609827374433,5.78509290788949
"PIB_per_capta (R$ 2022)",48.2401761697914,49.1951232041058,49.0018376761842,46.8954251647156,45.0611035083831,45.4183402570409,46.055433282696,46.5176942340712,44.974780541451,47.2876214821557,48.8288869039802
"cambio",1.95458333333333,2.15763333333333,2.35356666666667,3.33153333333333,3.49011666666667,3.19200833333333,3.65445,3.94508333333333,5.15584166666667,5.395025,5.16476666666667
"divida_liquida_pib",33.7441666666667,32.13,31.9758333333333,34.42,42.8275,50.8966666666667,53.3791666666667,55.8433333333333,62.5516666666667,61.6208333333333,57.0283333333333
"SELIC (%a.a)",8.62841530054645,8.29246575342466,10.958904109589,13.4732876712329,14.17,10.1547945205479,6.58082191780822,6.03561643835616,2.88661202185792,4.62835820895522,12.5612947658402
"SELIC_over (%a.a)",8.48227094089098,8.21335618423154,10.9100920689661,13.2857836033859,14.0283876295154,9.95564231649329,6.42152120022379,5.94594035772942,2.75381578210547,4.43568775893222,12.3804866338466
